município,ano,sigla,idhm_e,idhm_l,idhm_r,idhm
PINHALZINHO,2000,SP,0.446,0.77,0.67,0.613
PIQUEROBI,2000,SP,0.492,0.758,0.637,0.619
PIQUETE,2000,SP,0.6,0.798,0.685,0.69
PIRACAIA,2000,SP,0.442,0.782,0.689,0.62
PIRACICABA,2000,SP,0.581,0.81,0.759,0.71
PIRAJU,2000,SP,0.552,0.762,0.704,0.667
PIRAJUÍ,2000,SP,0.529,0.838,0.675,0.669
PIRANGI,2000,SP,0.52,0.82,0.717,0.674
PIRAPORA DO BOM JESUS,2000,SP,0.48,0.758,0.659,0.621
PIRAPOZINHO,2000,SP,0.556,0.778,0.69,0.668
PIRASSUNUNGA,2000,SP,0.607,0.817,0.738,0.715
PIRATININGA,2000,SP,0.553,0.806,0.716,0.683
PITANGUEIRAS,2000,SP,0.486,0.765,0.663,0.627
PLANALTO,2000,SP,0.426,0.762,0.683,0.605
PLATINA,2000,SP,0.392,0.746,0.614,0.564
POÁ,2000,SP,0.624,0.785,0.697,0.699
POLONI,2000,SP,0.604,0.817,0.695,0.7
POMPÉIA,2000,SP,0.639,0.833,0.699,0.719
PONGAÍ,2000,SP,0.545,0.792,0.694,0.669
PONTAL,2000,SP,0.387,0.757,0.72,0.595
PONTALINDA,2000,SP,0.499,0.782,0.56,0.602
PONTES GESTAL,2000,SP,0.508,0.743,0.634,0.621
POPULINA,2000,SP,0.461,0.759,0.619,0.601
PORANGABA,2000,SP,0.448,0.812,0.652,0.619
PORTO FELIZ,2000,SP,0.505,0.777,0.687,0.646
PORTO FERREIRA,2000,SP,0.594,0.773,0.71,0.688
POTIM,2000,SP,0.485,0.724,0.616,0.6
POTIRENDABA,2000,SP,0.543,0.811,0.694,0.674
PRACINHA,2000,SP,0.438,0.776,0.546,0.57
PRADÓPOLIS,2000,SP,0.523,0.746,0.686,0.644
PRAIA GRANDE,2000,SP,0.551,0.801,0.732,0.686
PRATÂNIA,2000,SP,0.462,0.754,0.688,0.621
PRESIDENTE ALVES,2000,SP,0.545,0.746,0.65,0.642
PRESIDENTE BERNARDES,2000,SP,0.584,0.776,0.666,0.671
PRESIDENTE EPITÁCIO,2000,SP,0.56,0.761,0.689,0.665
PRESIDENTE PRUDENTE,2000,SP,0.67,0.806,0.768,0.746
PRESIDENTE VENCESLAU,2000,SP,0.588,0.809,0.725,0.701
PROMISSÃO,2000,SP,0.534,0.775,0.673,0.653
QUADRA,2000,SP,0.365,0.802,0.623,0.567
QUATÁ,2000,SP,0.531,0.774,0.677,0.653
QUEIROZ,2000,SP,0.452,0.738,0.56,0.572
QUELUZ,2000,SP,0.466,0.763,0.654,0.615
QUINTANA,2000,SP,0.516,0.769,0.641,0.634
RAFARD,2000,SP,0.512,0.773,0.688,0.648
RANCHARIA,2000,SP,0.6,0.782,0.67,0.68
REDENÇÃO DA SERRA,2000,SP,0.362,0.779,0.597,0.552
REGENTE FEIJÓ,2000,SP,0.601,0.797,0.69,0.691
REGINÓPOLIS,2000,SP,0.511,0.763,0.671,0.64
REGISTRO,2000,SP,0.507,0.786,0.689,0.65
RESTINGA,2000,SP,0.499,0.782,0.611,0.62
RIBEIRA,2000,SP,0.457,0.711,0.581,0.574
RIBEIRÃO BONITO,2000,SP,0.511,0.778,0.676,0.645
RIBEIRÃO BRANCO,2000,SP,0.258,0.699,0.547,0.462
RIBEIRÃO CORRENTE,2000,SP,0.407,0.746,0.617,0.572
RIBEIRÃO DO SUL,2000,SP,0.455,0.772,0.624,0.603
RIBEIRÃO DOS ÍNDIOS,2000,SP,0.528,0.758,0.574,0.612
RIBEIRÃO GRANDE,2000,SP,0.394,0.743,0.599,0.56
RIBEIRÃO PIRES,2000,SP,0.626,0.813,0.726,0.718
RIBEIRÃO PRETO,2000,SP,0.632,0.791,0.787,0.733
RIVERSUL,2000,SP,0.402,0.754,0.565,0.555
RIFAINA,2000,SP,0.473,0.79,0.65,0.624
RINCÃO,2000,SP,0.527,0.752,0.643,0.634
RINÓPOLIS,2000,SP,0.561,0.773,0.649,0.655
RIO CLARO,2000,SP,0.637,0.813,0.763,0.734
RIO DAS PEDRAS,2000,SP,0.536,0.786,0.695,0.664
RIO GRANDE DA SERRA,2000,SP,0.502,0.769,0.631,0.625
RIOLÂNDIA,2000,SP,0.452,0.736,0.655,0.602
ROSANA,2000,SP,0.59,0.794,0.694,0.688
ROSEIRA,2000,SP,0.545,0.763,0.636,0.642
RUBIÁCEA,2000,SP,0.511,0.786,0.643,0.637
RUBINÉIA,2000,SP,0.612,0.765,0.663,0.677
SABINO,2000,SP,0.464,0.77,0.678,0.623
SAGRES,2000,SP,0.521,0.739,0.565,0.601
SALES,2000,SP,0.533,0.779,0.652,0.647
SALES OLIVEIRA,2000,SP,0.527,0.777,0.7,0.659
SALESÓPOLIS,2000,SP,0.473,0.757,0.668,0.621
SALMOURÃO,2000,SP,0.472,0.788,0.601,0.607
SALTINHO,2000,SP,0.665,0.852,0.748,0.751
SALTO,2000,SP,0.573,0.813,0.714,0.693
SALTO DE PIRAPORA,2000,SP,0.483,0.791,0.656,0.63
SALTO GRANDE,2000,SP,0.489,0.742,0.667,0.623
SANDOVALINA,2000,SP,0.554,0.784,0.62,0.646
SANTA ADÉLIA,2000,SP,0.478,0.813,0.683,0.643
SANTA ALBERTINA,2000,SP,0.517,0.782,0.703,0.657
SANTA BÁRBARA D'OESTE,2000,SP,0.566,0.816,0.706,0.688
SANTA BRANCA,2000,SP,0.542,0.771,0.68,0.657
SANTA CLARA D'OESTE,2000,SP,0.476,0.757,0.623,0.608
SANTA CRUZ DA CONCEIÇÃO,2000,SP,0.547,0.844,0.714,0.691
SANTA CRUZ DA ESPERANÇA,2000,SP,0.576,0.788,0.674,0.674
SANTA CRUZ DAS PALMEIRAS,2000,SP,0.476,0.774,0.686,0.632
SANTA CRUZ DO RIO PARDO,2000,SP,0.53,0.801,0.714,0.672
SANTA ERNESTINA,2000,SP,0.551,0.74,0.654,0.644
SANTA FÉ DO SUL,2000,SP,0.603,0.809,0.721,0.706
SANTA GERTRUDES,2000,SP,0.501,0.778,0.685,0.644
SANTA ISABEL,2000,SP,0.469,0.78,0.678,0.628
SANTA LÚCIA,2000,SP,0.547,0.801,0.683,0.669
SANTA MARIA DA SERRA,2000,SP,0.403,0.776,0.657,0.59
SANTA MERCEDES,2000,SP,0.544,0.755,0.613,0.631
SANTANA DA PONTE PENSA,2000,SP,0.58,0.832,0.661,0.683
SANTANA DE PARNAÍBA,2000,SP,0.53,0.805,0.848,0.713
SANTA RITA D'OESTE,2000,SP,0.55,0.754,0.608,0.632
SANTA RITA DO PASSA QUATRO,2000,SP,0.606,0.809,0.765,0.721
SANTA ROSA DE VITERBO,2000,SP,0.504,0.806,0.692,0.655
SANTA SALETE,2000,SP,0.575,0.847,0.627,0.673
SANTO ANASTÁCIO,2000,SP,0.593,0.803,0.671,0.684
SANTO ANDRÉ,2000,SP,0.65,0.791,0.781,0.738
SANTO ANTÔNIO DA ALEGRIA,2000,SP,0.439,0.758,0.673,0.607
SANTO ANTÔNIO DE POSSE,2000,SP,0.422,0.801,0.702,0.619
SANTO ANTÔNIO DO ARACANGUÁ,2000,SP,0.587,0.771,0.633,0.659
SANTO ANTÔNIO DO JARDIM,2000,SP,0.459,0.776,0.654,0.615
SANTO ANTÔNIO DO PINHAL,2000,SP,0.437,0.782,0.684,0.616
SANTO EXPEDITO,2000,SP,0.593,0.788,0.631,0.666
SANTÓPOLIS DO AGUAPEÍ,2000,SP,0.561,0.786,0.601,0.642
SANTOS,2000,SP,0.714,0.81,0.835,0.785
SÃO BENTO DO SAPUCAÍ,2000,SP,0.438,0.762,0.65,0.601
SÃO BERNARDO DO CAMPO,2000,SP,0.651,0.799,0.778,0.74
SÃO CAETANO DO SUL,2000,SP,0.74,0.87,0.855,0.82
SÃO CARLOS,2000,SP,0.656,0.801,0.759,0.736
SÃO FRANCISCO,2000,SP,0.536,0.757,0.62,0.631
SÃO JOÃO DA BOA VISTA,2000,SP,0.61,0.833,0.741,0.722
SÃO JOÃO DAS DUAS PONTES,2000,SP,0.531,0.755,0.66,0.642
SÃO JOÃO DE IRACEMA,2000,SP,0.591,0.76,0.69,0.677
SÃO JOÃO DO PAU D'ALHO,2000,SP,0.58,0.755,0.602,0.641
SÃO JOAQUIM DA BARRA,2000,SP,0.564,0.803,0.713,0.686
SÃO JOSÉ DA BELA VISTA,2000,SP,0.42,0.751,0.622,0.581
SÃO JOSÉ DO BARREIRO,2000,SP,0.447,0.781,0.662,0.614
SÃO JOSÉ DO RIO PARDO,2000,SP,0.592,0.821,0.71,0.701
SÃO JOSÉ DO RIO PRETO,2000,SP,0.655,0.813,0.777,0.745
SÃO JOSÉ DOS CAMPOS,2000,SP,0.655,0.807,0.765,0.739
SÃO LOURENÇO DA SERRA,2000,SP,0.436,0.741,0.668,0.6
SÃO LUÍS DO PARAITINGA,2000,SP,0.391,0.745,0.652,0.575
SÃO MANUEL,2000,SP,0.5,0.773,0.693,0.645
SÃO MIGUEL ARCANJO,2000,SP,0.413,0.746,0.657,0.587
SÃO PAULO,2000,SP,0.614,0.796,0.807,0.733
SÃO PEDRO,2000,SP,0.532,0.812,0.717,0.677
SÃO PEDRO DO TURVO,2000,SP,0.458,0.772,0.609,0.599
SÃO ROQUE,2000,SP,0.535,0.821,0.748,0.69
SÃO SEBASTIÃO,2000,SP,0.508,0.796,0.722,0.663
SÃO SEBASTIÃO DA GRAMA,2000,SP,0.435,0.778,0.657,0.606
SÃO SIMÃO,2000,SP,0.569,0.816,0.703,0.689
SÃO VICENTE,2000,SP,0.576,0.797,0.711,0.689
SARAPUÍ,2000,SP,0.417,0.756,0.68,0.598
SARUTAIÁ,2000,SP,0.341,0.758,0.589,0.534
SEBASTIANÓPOLIS DO SUL,2000,SP,0.596,0.802,0.631,0.671
SERRA AZUL,2000,SP,0.449,0.737,0.64,0.596
SERRANA,2000,SP,0.468,0.748,0.655,0.612
SERRA NEGRA,2000,SP,0.561,0.815,0.762,0.704
SERTÃOZINHO,2000,SP,0.552,0.816,0.737,0.692
SETE BARRAS,2000,SP,0.373,0.733,0.594,0.546
SEVERÍNIA,2000,SP,0.471,0.787,0.702,0.638
SILVEIRAS,2000,SP,0.375,0.791,0.639,0.574
SOCORRO,2000,SP,0.454,0.784,0.703,0.63
SOROCABA,2000,SP,0.615,0.806,0.757,0.721
SUD MENNUCCI,2000,SP,0.55,0.749,0.665,0.649
SUMARÉ,2000,SP,0.514,0.802,0.691,0.658
SUZANO,2000,SP,0.557,0.757,0.689,0.662
SUZANÁPOLIS,2000,SP,0.453,0.738,0.619,0.591
TABAPUÃ,2000,SP,0.543,0.79,0.664,0.658
TABATINGA,2000,SP,0.426,0.777,0.674,0.606
TABOÃO DA SERRA,2000,SP,0.557,0.81,0.724,0.689
TACIBA,2000,SP,0.476,0.784,0.643,0.621
TAGUAÍ,2000,SP,0.446,0.795,0.643,0.611
TAIAÇU,2000,SP,0.485,0.752,0.655,0.62
TAIÚVA,2000,SP,0.592,0.817,0.7,0.697
TAMBAÚ,2000,SP,0.47,0.763,0.668,0.621
TANABI,2000,SP,0.558,0.773,0.691,0.668
TAPIRAÍ,2000,SP,0.396,0.765,0.641,0.579
TAPIRATIBA,2000,SP,0.494,0.796,0.677,0.643
TAQUARAL,2000,SP,0.435,0.768,0.737,0.627
TAQUARITINGA,2000,SP,0.537,0.785,0.695,0.664
TAQUARITUBA,2000,SP,0.424,0.742,0.655,0.591
TAQUARIVAÍ,2000,SP,0.275,0.745,0.602,0.498
TARABAI,2000,SP,0.489,0.784,0.595,0.611
TARUMÃ,2000,SP,0.537,0.793,0.656,0.654
TATUÍ,2000,SP,0.528,0.81,0.71,0.672
TAUBATÉ,2000,SP,0.639,0.813,0.761,0.734
TEJUPÁ,2000,SP,0.35,0.743,0.606,0.54
TEODORO SAMPAIO,2000,SP,0.478,0.761,0.67,0.625
TERRA ROXA,2000,SP,0.455,0.786,0.632,0.609
TIETÊ,2000,SP,0.557,0.816,0.748,0.698
TIMBURI,2000,SP,0.456,0.73,0.627,0.593
TORRE DE PEDRA,2000,SP,0.399,0.786,0.606,0.575
TORRINHA,2000,SP,0.534,0.802,0.693,0.667
TRABIJU,2000,SP,0.422,0.708,0.624,0.571
TREMEMBÉ,2000,SP,0.582,0.82,0.733,0.705
TRÊS FRONTEIRAS,2000,SP,0.528,0.781,0.654,0.646
TUIUTI,2000,SP,0.414,0.814,0.654,0.604
TUPÃ,2000,SP,0.563,0.818,0.717,0.691
TUPI PAULISTA,2000,SP,0.632,0.817,0.701,0.713
TURIÚBA,2000,SP,0.591,0.784,0.649,0.67
TURMALINA,2000,SP,0.568,0.783,0.625,0.653
UBARANA,2000,SP,0.439,0.793,0.608,0.596
UBATUBA,2000,SP,0.482,0.748,0.703,0.633
UBIRAJARA,2000,SP,0.444,0.739,0.612,0.586
UCHOA,2000,SP,0.55,0.768,0.657,0.652
UNIÃO PAULISTA,2000,SP,0.441,0.798,0.604,0.597
URÂNIA,2000,SP,0.569,0.754,0.654,0.655
URU,2000,SP,0.568,0.742,0.636,0.645
URUPÊS,2000,SP,0.595,0.794,0.684,0.686
VALENTIM GENTIL,2000,SP,0.513,0.793,0.679,0.651
VALINHOS,2000,SP,0.633,0.811,0.793,0.741
VALPARAÍSO,2000,SP,0.58,0.753,0.685,0.669
VARGEM,2000,SP,0.395,0.811,0.662,0.596
VARGEM GRANDE DO SUL,2000,SP,0.484,0.777,0.682,0.635
VARGEM GRANDE PAULISTA,2000,SP,0.503,0.805,0.706,0.659
VÁRZEA PAULISTA,2000,SP,0.502,0.8,0.672,0.646
VERA CRUZ,2000,SP,0.574,0.754,0.678,0.665
VINHEDO,2000,SP,0.626,0.828,0.81,0.749
VIRADOURO,2000,SP,0.51,0.787,0.671,0.646
VISTA ALEGRE DO ALTO,2000,SP,0.514,0.787,0.737,0.668
VITÓRIA BRASIL,2000,SP,0.415,0.738,0.607,0.571
VOTORANTIM,2000,SP,0.59,0.794,0.695,0.688
VOTUPORANGA,2000,SP,0.624,0.815,0.744,0.723
ZACARIAS,2000,SP,0.539,0.803,0.607,0.64
CHAVANTES,2000,SP,0.505,0.778,0.672,0.642
ESTIVA GERBI,2000,SP,0.501,0.786,0.659,0.638
ABATIÁ,2000,PR,0.396,0.744,0.575,0.553
ADRIANÓPOLIS,2000,PR,0.396,0.748,0.539,0.542
AGUDOS DO SUL,2000,PR,0.329,0.704,0.584,0.513
ALMIRANTE TAMANDARÉ,2000,PR,0.407,0.773,0.629,0.583
ALTAMIRA DO PARANÁ,2000,PR,0.308,0.709,0.558,0.496
ALTÔNIA,2000,PR,0.49,0.753,0.615,0.61
ALTO PARANÁ,2000,PR,0.475,0.752,0.625,0.607
ALTO PIQUIRI,2000,PR,0.415,0.747,0.653,0.587
ALVORADA DO SUL,2000,PR,0.561,0.757,0.636,0.646
AMAPORÃ,2000,PR,0.486,0.7,0.61,0.592
AMPÉRE,2000,PR,0.462,0.769,0.654,0.615
ANAHY,2000,PR,0.492,0.767,0.558,0.595
ANDIRÁ,2000,PR,0.55,0.741,0.654,0.644
ÂNGULO,2000,PR,0.517,0.744,0.646,0.629
ANTONINA,2000,PR,0.395,0.8,0.625,0.582
ANTÔNIO OLINTO,2000,PR,0.305,0.739,0.538,0.495
APUCARANA,2000,PR,0.545,0.803,0.685,0.669
ARAPONGAS,2000,PR,0.558,0.773,0.693,0.669
ARAPOTI,2000,PR,0.478,0.743,0.709,0.631
ARAPUÃ,2000,PR,0.41,0.748,0.523,0.543
ARARUNA,2000,PR,0.493,0.717,0.616,0.602
ARAUCÁRIA,2000,PR,0.467,0.803,0.661,0.628
ARIRANHA DO IVAÍ,2000,PR,0.341,0.702,0.576,0.517
ASSAÍ,2000,PR,0.501,0.753,0.626,0.618
ASSIS CHATEAUBRIAND,2000,PR,0.544,0.803,0.715,0.678
ASTORGA,2000,PR,0.522,0.741,0.675,0.639
ATALAIA,2000,PR,0.531,0.8,0.649,0.651
BALSA NOVA,2000,PR,0.463,0.761,0.629,0.605
BANDEIRANTES,2000,PR,0.56,0.726,0.649,0.641
BARBOSA FERRAZ,2000,PR,0.449,0.736,0.591,0.58
BARRACÃO,2000,PR,0.469,0.755,0.651,0.613
BARRA DO JACARÉ,2000,PR,0.631,0.733,0.63,0.663
BELA VISTA DA CAROBA,2000,PR,0.382,0.774,0.546,0.545
BELA VISTA DO PARAÍSO,2000,PR,0.498,0.789,0.67,0.641
BITURUNA,2000,PR,0.342,0.739,0.599,0.533
BOA ESPERANÇA,2000,PR,0.54,0.721,0.597,0.615
BOA ESPERANÇA DO IGUAÇU,2000,PR,0.393,0.768,0.598,0.565
BOA VENTURA DE SÃO ROQUE,2000,PR,0.321,0.698,0.611,0.515
BOA VISTA DA APARECIDA,2000,PR,0.405,0.706,0.612,0.559
BOCAIÚVA DO SUL,2000,PR,0.321,0.723,0.618,0.523
BOM JESUS DO SUL,2000,PR,0.42,0.723,0.53,0.544
BOM SUCESSO,2000,PR,0.411,0.749,0.61,0.573
BOM SUCESSO DO SUL,2000,PR,0.551,0.761,0.619,0.638
BORRAZÓPOLIS,2000,PR,0.465,0.769,0.588,0.595
BRAGANEY,2000,PR,0.403,0.707,0.543,0.537
BRASILÂNDIA DO SUL,2000,PR,0.45,0.718,0.61,0.582
CAFEARA,2000,PR,0.458,0.743,0.59,0.586
CAFELÂNDIA,2000,PR,0.596,0.742,0.669,0.666
CAFEZAL DO SUL,2000,PR,0.418,0.741,0.629,0.58
CALIFÓRNIA,2000,PR,0.499,0.724,0.631,0.611
CAMBARÁ,2000,PR,0.539,0.755,0.658,0.645
CAMBÉ,2000,PR,0.538,0.798,0.673,0.661
CAMBIRA,2000,PR,0.499,0.8,0.634,0.633
CAMPINA DA LAGOA,2000,PR,0.462,0.748,0.619,0.598
CAMPINA DO SIMÃO,2000,PR,0.31,0.709,0.539,0.491
CAMPINA GRANDE DO SUL,2000,PR,0.415,0.804,0.639,0.597
CAMPO BONITO,2000,PR,0.341,0.718,0.548,0.512
CAMPO DO TENENTE,2000,PR,0.393,0.737,0.574,0.55
CAMPO LARGO,2000,PR,0.483,0.8,0.674,0.639
CAMPO MAGRO,2000,PR,0.399,0.753,0.647,0.579
CAMPO MOURÃO,2000,PR,0.582,0.776,0.682,0.675
CÂNDIDO DE ABREU,2000,PR,0.26,0.702,0.533,0.46
CANDÓI,2000,PR,0.315,0.685,0.61,0.509
CANTAGALO,2000,PR,0.346,0.684,0.582,0.516
CAPANEMA,2000,PR,0.467,0.737,0.651,0.607
CAPITÃO LEÔNIDAS MARQUES,2000,PR,0.502,0.737,0.664,0.626
CARAMBEÍ,2000,PR,0.537,0.746,0.677,0.647
CARLÓPOLIS,2000,PR,0.423,0.767,0.632,0.59
CASCAVEL,2000,PR,0.574,0.803,0.718,0.692
CASTRO,2000,PR,0.477,0.743,0.651,0.613
CATANDUVAS,2000,PR,0.424,0.703,0.619,0.569
CENTENÁRIO DO SUL,2000,PR,0.476,0.762,0.604,0.603
CERRO AZUL,2000,PR,0.222,0.748,0.55,0.45
CÉU AZUL,2000,PR,0.53,0.752,0.671,0.644
CHOPINZINHO,2000,PR,0.48,0.782,0.645,0.623
CIANORTE,2000,PR,0.483,0.773,0.698,0.639
CIDADE GAÚCHA,2000,PR,0.486,0.718,0.643,0.608
CLEVELÂNDIA,2000,PR,0.369,0.725,0.623,0.55
COLOMBO,2000,PR,0.464,0.822,0.657,0.63
COLORADO,2000,PR,0.522,0.767,0.683,0.649
CONGONHINHAS,2000,PR,0.378,0.707,0.57,0.534
CONSELHEIRO MAIRINCK,2000,PR,0.418,0.722,0.675,0.588
CONTENDA,2000,PR,0.447,0.768,0.633,0.601
CORBÉLIA,2000,PR,0.506,0.739,0.654,0.625
CORNÉLIO PROCÓPIO,2000,PR,0.603,0.776,0.7,0.689
CORONEL DOMINGOS SOARES,2000,PR,0.215,0.709,0.508,0.426
CORONEL VIVIDA,2000,PR,0.487,0.739,0.621,0.607
CORUMBATAÍ DO SUL,2000,PR,0.366,0.694,0.512,0.507
CRUZEIRO DO IGUAÇU,2000,PR,0.42,0.736,0.573,0.562
CRUZEIRO DO OESTE,2000,PR,0.509,0.732,0.648,0.623
CRUZEIRO DO SUL,2000,PR,0.407,0.784,0.618,0.582
CRUZ MACHADO,2000,PR,0.28,0.748,0.57,0.492
CRUZMALTINA,2000,PR,0.439,0.684,0.543,0.546
CURITIBA,2000,PR,0.655,0.796,0.809,0.75
CURIÚVA,2000,PR,0.271,0.738,0.559,0.482
DIAMANTE DO NORTE,2000,PR,0.5,0.73,0.631,0.613
DIAMANTE DO SUL,2000,PR,0.293,0.707,0.562,0.488
DIAMANTE D'OESTE,2000,PR,0.361,0.722,0.579,0.532
DOIS VIZINHOS,2000,PR,0.54,0.787,0.671,0.658
DOURADINA,2000,PR,0.441,0.725,0.645,0.591
DOUTOR CAMARGO,2000,PR,0.555,0.757,0.647,0.648
ENÉAS MARQUES,2000,PR,0.471,0.794,0.68,0.634
ENGENHEIRO BELTRÃO,2000,PR,0.559,0.731,0.672,0.65
ESPERANÇA NOVA,2000,PR,0.457,0.752,0.581,0.584
ENTRE RIOS DO OESTE,2000,PR,0.634,0.794,0.724,0.714
ESPIGÃO ALTO DO IGUAÇU,2000,PR,0.344,0.724,0.595,0.529
FAROL,2000,PR,0.432,0.726,0.595,0.571
FAXINAL,2000,PR,0.439,0.718,0.652,0.59
FAZENDA RIO GRANDE,2000,PR,0.438,0.762,0.627,0.594
FÊNIX,2000,PR,0.483,0.751,0.599,0.601
FERNANDES PINHEIRO,2000,PR,0.337,0.748,0.576,0.526
FIGUEIRA,2000,PR,0.399,0.706,0.606,0.555
FLORAÍ,2000,PR,0.562,0.816,0.656,0.67
FLOR DA SERRA DO SUL,2000,PR,0.443,0.763,0.586,0.583
FLORESTA,2000,PR,0.587,0.736,0.655,0.657
FLORESTÓPOLIS,2000,PR,0.424,0.739,0.595,0.571
FLÓRIDA,2000,PR,0.579,0.743,0.636,0.649
FORMOSA DO OESTE,2000,PR,0.464,0.768,0.615,0.603
FOZ DO IGUAÇU,2000,PR,0.507,0.816,0.706,0.663
FRANCISCO ALVES,2000,PR,0.457,0.722,0.579,0.576
FRANCISCO BELTRÃO,2000,PR,0.576,0.796,0.696,0.683
FOZ DO JORDÃO,2000,PR,0.323,0.736,0.577,0.516
GENERAL CARNEIRO,2000,PR,0.348,0.713,0.607,0.532
GODOY MOREIRA,2000,PR,0.345,0.748,0.528,0.515
GOIOERÊ,2000,PR,0.455,0.769,0.648,0.61
GOIOXIM,2000,PR,0.225,0.726,0.542,0.446
GRANDES RIOS,2000,PR,0.35,0.736,0.571,0.528
GUAÍRA,2000,PR,0.521,0.769,0.665,0.643
GUAIRAÇÁ,2000,PR,0.471,0.741,0.596,0.593
GUAMIRANGA,2000,PR,0.356,0.707,0.529,0.511
GUAPIRAMA,2000,PR,0.405,0.766,0.597,0.57
GUAPOREMA,2000,PR,0.429,0.706,0.59,0.563
GUARACI,2000,PR,0.47,0.743,0.628,0.603
GUARANIAÇU,2000,PR,0.39,0.765,0.636,0.575
GUARAPUAVA,2000,PR,0.45,0.816,0.689,0.632
GUARAQUEÇABA,2000,PR,0.22,0.693,0.522,0.43
GUARATUBA,2000,PR,0.442,0.765,0.68,0.613
HONÓRIO SERPA,2000,PR,0.368,0.738,0.546,0.529
IBAITI,2000,PR,0.374,0.725,0.608,0.548
IBEMA,2000,PR,0.357,0.717,0.585,0.531
IBIPORÃ,2000,PR,0.522,0.737,0.68,0.64
ICARAÍMA,2000,PR,0.478,0.753,0.63,0.61
IGUARAÇU,2000,PR,0.579,0.765,0.645,0.659
IGUATU,2000,PR,0.414,0.753,0.56,0.559
IMBAÚ,2000,PR,0.355,0.694,0.574,0.521
IMBITUVA,2000,PR,0.339,0.753,0.617,0.54
INÁCIO MARTINS,2000,PR,0.304,0.669,0.582,0.491
INAJÁ,2000,PR,0.379,0.751,0.596,0.554
INDIANÓPOLIS,2000,PR,0.536,0.752,0.617,0.629
IPIRANGA,2000,PR,0.311,0.748,0.601,0.519
IPORÃ,2000,PR,0.47,0.758,0.61,0.601
IRACEMA DO OESTE,2000,PR,0.464,0.767,0.559,0.584
IRATI,2000,PR,0.494,0.748,0.636,0.617
IRETAMA,2000,PR,0.38,0.707,0.595,0.543
ITAGUAJÉ,2000,PR,0.454,0.712,0.654,0.596
ITAIPULÂNDIA,2000,PR,0.505,0.765,0.656,0.633
ITAMBARACÁ,2000,PR,0.52,0.706,0.589,0.6
ITAMBÉ,2000,PR,0.539,0.803,0.657,0.658
ITAPEJARA D'OESTE,2000,PR,0.472,0.748,0.636,0.608
ITAPERUÇU,2000,PR,0.275,0.685,0.565,0.474
ITAÚNA DO SUL,2000,PR,0.44,0.732,0.566,0.567
IVAÍ,2000,PR,0.389,0.689,0.574,0.536
IVAIPORÃ,2000,PR,0.485,0.774,0.644,0.623
IVATÉ,2000,PR,0.45,0.718,0.586,0.574
IVATUBA,2000,PR,0.655,0.765,0.685,0.7
JABOTI,2000,PR,0.432,0.766,0.611,0.587
JACAREZINHO,2000,PR,0.512,0.759,0.686,0.644
JAGUAPITÃ,2000,PR,0.511,0.775,0.638,0.632
JAGUARIAÍVA,2000,PR,0.456,0.804,0.64,0.617
JANDAIA DO SUL,2000,PR,0.558,0.753,0.683,0.66
JANIÓPOLIS,2000,PR,0.444,0.761,0.571,0.578
JAPIRA,2000,PR,0.411,0.761,0.619,0.579
JAPURÁ,2000,PR,0.511,0.748,0.644,0.627
JARDIM ALEGRE,2000,PR,0.404,0.736,0.6,0.563
JARDIM OLINDA,2000,PR,0.434,0.75,0.588,0.576
JATAIZINHO,2000,PR,0.483,0.767,0.616,0.611
JESUÍTAS,2000,PR,0.477,0.797,0.646,0.626
JOAQUIM TÁVORA,2000,PR,0.495,0.766,0.63,0.62
JUNDIAÍ DO SUL,2000,PR,0.444,0.712,0.672,0.597
JURANDA,2000,PR,0.45,0.753,0.618,0.594
JUSSARA,2000,PR,0.53,0.783,0.622,0.637
KALORÉ,2000,PR,0.525,0.794,0.597,0.629
LAPA,2000,PR,0.459,0.769,0.655,0.614
LARANJAL,2000,PR,0.204,0.693,0.522,0.419
LARANJEIRAS DO SUL,2000,PR,0.449,0.737,0.647,0.598
LEÓPOLIS,2000,PR,0.547,0.744,0.62,0.632
LIDIANÓPOLIS,2000,PR,0.437,0.767,0.588,0.582
LINDOESTE,2000,PR,0.429,0.723,0.567,0.56
LOANDA,2000,PR,0.503,0.773,0.645,0.631
LOBATO,2000,PR,0.632,0.768,0.676,0.69
LONDRINA,2000,PR,0.612,0.796,0.753,0.716
LUIZIANA,2000,PR,0.37,0.694,0.581,0.53
LUNARDELLI,2000,PR,0.411,0.761,0.578,0.565
LUPIONÓPOLIS,2000,PR,0.448,0.803,0.646,0.615
MALLET,2000,PR,0.406,0.742,0.63,0.575
MAMBORÊ,2000,PR,0.499,0.725,0.608,0.604
MANDAGUAÇU,2000,PR,0.52,0.743,0.653,0.632
MANDAGUARI,2000,PR,0.563,0.799,0.655,0.665
MANDIRITUBA,2000,PR,0.368,0.765,0.65,0.568
MANFRINÓPOLIS,2000,PR,0.317,0.755,0.54,0.506
MANGUEIRINHA,2000,PR,0.401,0.753,0.63,0.575
MANOEL RIBAS,2000,PR,0.457,0.736,0.595,0.585
MARECHAL CÂNDIDO RONDON,2000,PR,0.612,0.804,0.711,0.705
MARIA HELENA,2000,PR,0.461,0.761,0.557,0.58
MARIALVA,2000,PR,0.525,0.745,0.694,0.647
MARILÂNDIA DO SUL,2000,PR,0.431,0.76,0.628,0.59
MARILENA,2000,PR,0.403,0.783,0.603,0.575
